Drug,PMID,PubDate,Journal,Title,Source
ATEZOLIZUMAB,42583973,2026 Jul 1,Indian J Pharmacol,Gastrointestinal adverse events related to monoclonal antibodies: A comprehensive evaluation of data from the FDA Adverse Event Reporting System database.,PubMed
ATEZOLIZUMAB,42580588,2026 Aug 11,JHEP Rep,Competing risks of treatment discontinuation of atezolizumab plus bevacizumab in unresectable hepatocellular carcinoma.,PubMed
ATEZOLIZUMAB,42517276,2026 Jul 28,J Eur Acad Dermatol Venereol,Severe oral lichenoid reactions associated with immune checkpoint inhibitors.,PubMed
ATEZOLIZUMAB,42515859,2026 Jul 27,BJU Int,INtraVESical immunoTherapy (INVEST) prior to radical cystectomy for bladder cancer: trial protocol.,PubMed
ATEZOLIZUMAB,42507968,2026 Jul 27,J Clin Oncol,"SKYSCRAPER-01: Tiragolumab in Combination With Atezolizumab in Previously Untreated PD-L1-High, Locally Advanced, Unresectable or Metastatic Non-Small Cell Lung Cancer.",PubMed
ATEZOLIZUMAB,42504811,2026 Aug,J Manag Care Spec Pharm,Health care use and costs associated with clinically impactful immune-related adverse events during immune checkpoint inhibitor therapy for non-small cell lung cancer.,PubMed
ATEZOLIZUMAB,42485604,2026 Jul 22,JCO Oncol Pract,Comparative Risk of Cardiovascular Hospitalization With Immune Checkpoint Inhibitors Versus Chemotherapy.,PubMed
ATEZOLIZUMAB,42482754,2026,Front Oncol,Case Report: immune checkpoint inhibitor-associated aseptic meningitis in lung cancer: two cases illustrating an exclusion-based diagnosis approach and stepwise immunosuppressive treatment.,PubMed
ATEZOLIZUMAB,42477572,2026 Jul 20,BMC Cancer,Real-world evidence for atezolizumab with bevacizumab for unresectable hepatocellular carcinoma: a multicentre UK Midlands cohort.,PubMed
ATEZOLIZUMAB,42467392,2026 Jul 17,Discov Oncol,Mechanistic synergies and optimal sequencing of anti‑VEGF plus immune checkpoint inhibition in gastrointestinal cancers.,PubMed
ATEZOLIZUMAB,42467032,2026 Jul 17,Int J Radiat Oncol Biol Phys,A Phase 1 Trial of Dose-Escalated Hypofractionated Adaptive Radiation Therapy With Atezolizumab for Advanced Head and Neck Cancers.,PubMed
ATEZOLIZUMAB,42461453,2026 Jul 16,J Gastrointest Cancer,Safety of Immune-Targeted Therapy in Patients with Hepatocellular Carcinoma in the Real-World.,PubMed
ATEZOLIZUMAB,42449709,2026 Jul 6,Cancers (Basel),Organ-System Predictors of Immune-Related Adverse Events and Their Prognostic Impact in Immune Checkpoint Inhibitors-Treated Cancer Patients: A MENA Retrospective Cohort.,PubMed
ATEZOLIZUMAB,42446471,2026 Aug 12,Expert Opin Drug Saf,Safety profile of dual TIGIT and PD-L1 blockade with tiragolumab plus atezolizumab in solid tumors: a systematic review and meta-analysis of randomized controlled trials.,PubMed
ATEZOLIZUMAB,42424047,2026 Jul 9,JAMA Oncol,Consolidative Thoracic Radiotherapy With Atezolizumab Maintenance in Extensive-Stage Small Cell Lung Cancer: The Phase 2 TREASURE Randomized Clinical Trial (AIO-TRK-0320).,PubMed
AXITINIB,42595062,2026 Aug 13,Free Radic Biol Med,Light-Induced Structural Rearrangements of Axitinib and Their Role in Phototoxic Responses.,PubMed
AXITINIB,42594052,2026 Aug 13,Clin Cancer Res,Phase II trial of First-Line Axitinib Plus Nivolumab in Patients with Advanced Mucosal Melanoma.,PubMed
AXITINIB,42580409,2026 Aug 11,J Biol Chem,A High-Affinity Anti-ITGB5 Nanobody for Hepatocellular Carcinoma: Antitumor Efficacy and Tumor Microenvironment Reprogramming.,PubMed
AXITINIB,42560845,2026 Aug 6,J Liposome Res,Repurposed Axitinib delivered via lipid-extruded PEGylated liposomes: 2D/3D breast cancer cell evaluation and in-vivo pharmacokinetics.,PubMed
AXITINIB,42515676,2026 Jun 26,Pharmaceuticals (Basel),"Phytochemical Profiling and Computational Screening of Musa acuminata Peel as Hemorrhagic Wound Treatment Candidate: Network Pharmacology, Molecular Docking, Molecular Dynamics, and DFT Approaches.",PubMed
AXITINIB,42448652,2026 Jul 14,Cell Death Dis,Targeting enolase isoenzyme 2 enables precision glycolysis inhibition in VHL-mutant renal cell carcinoma.,PubMed
AXITINIB,42433301,2026 Aug,Eur Urol Open Sci,The ITALIC-RCC: A Randomized Trial on Clinical and Humoral Impact of Primary Tumor Ablation by Surgery or Radiotherapy in Metastatic Renal Cell Carcinoma Treated with Checkpoint Inhibitors.,PubMed
AXITINIB,42378551,2026 Apr,JCO Clin Cancer Inform,Bayesian Methods for Subgroup Efficacy and Safety: Application to Japanese Patients in JAVELIN Renal 101.,PubMed
AXITINIB,42346225,2026 May 30,Curr Oncol,Real-World Analysis of Metastatic Renal Cell Carcinoma Patients Treated with Pembrolizumab Plus Axitinib: Evidence from the Campania Oncology Network.,PubMed
AXITINIB,42307134,2026 Jun 17,Exp Physiol,VEGF inhibitor-induced vascular dysfunction involves redox-sensitive PARP activation and SIRT1 disruption.,PubMed
AXITINIB,42232545,2026,Front Oncol,Integrative oncology along with systemic cancer therapies in advanced bladder and prostate cancer: metabolic optimization guiding the shift from palliative care to clinical remission - a case report.,PubMed
AXITINIB,42166160,2026 May 1,JAMA Netw Open,Axitinib-Pembrolizumab and Adverse Event Management in Patients With Advanced Renal Cell Carcinoma.,PubMed
AXITINIB,42103905,2026 May 8,BJC Rep,4-weekly avelumab plus axitinib in patients with metastatic renal cell carcinoma.,PubMed
AXITINIB,42030026,2026 Apr 24,Support Care Cancer,Cardiac adverse events associated with axitinib: A real-world pharmacovigilance study based on the Japanese adverse drug event report database.,PubMed
AXITINIB,41991383,2026 Jun,Urol Oncol,"An integrated restricted mean survival time-based evaluation of efficacy, toxicity, and cost in first-line immunotherapy regimens for metastatic renal cell carcinoma.",PubMed
AZACITIDINE,42563153,2026 Aug 5,BMC Cancer,DECIDER-2: Prospective randomized multicenter phase III trial of decitabine and venetoclax administered in combination with all-trans retinoic acid or placebo in patients with acute myeloid leukemia who are ineligible for induction chemotherapy.,PubMed
AZACITIDINE,42552623,2026 Aug,Genes Chromosomes Cancer,DNA Hypomethylation Is Not Cell Intrinsically Toxic to Polycomb Repressive Complex 2 Deficient Malignant Peripheral Nerve Sheath Tumors.,PubMed
AZACITIDINE,42545812,2026 Sep,Hematol Oncol,A Phase 1 Trial of Duvelisib and Oral Azacitidine in Relapsed/Refractory T-Cell Lymphoma.,PubMed
AZACITIDINE,42534179,2026 Jun,Cureus,Gilteritinib-Associated Hypertriglyceridemia During Acute Myeloid Leukemia Triplet Therapy in a 52-Year-Old Man: A Case Report.,PubMed
AZACITIDINE,42532517,2026 Jul 30,Eur J Haematol,Dose-Adjusted Treatment With 7-Day Venetoclax Plus Azacitidine or Decitabine in Patients With Acute Myeloid Leukaemia.,PubMed
